"Date Reported","Region","Borough/Census Area","Community","All Cases"
01/23/2021,Gulf Coast,Chugach Census Area,Valdez,2
01/23/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,2
01/23/2021,Gulf Coast,Kenai Peninsula Borough,Sterling,1
01/23/2021,Interior,Denali Borough,Healy,3
01/23/2021,Interior,Fairbanks North Star Borough,Fairbanks,13
01/23/2021,Interior,Fairbanks North Star Borough,North Pole,6
01/23/2021,Interior,Yukon-Koyukuk Census Area,Other,2
01/23/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,7
01/23/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,6
01/23/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,3
01/23/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Sutton-Alpine,2
01/23/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Willow,2
01/23/2021,Northern,North Slope Borough,Other,3
01/23/2021,Northern,Northwest Arctic Borough,Other,3
01/23/2021,Southeast,Juneau City and Borough,Juneau,1
01/23/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,2
01/23/2021,Southeast,Sitka City and Borough,Sitka,1
01/23/2021,Southwest,Bethel Census Area,Bethel,15
01/23/2021,Southwest,Bethel Census Area,Other,27
01/23/2021,Southwest,Dillingham Census Area,Other,1
01/23/2021,Southwest,Kusilvak Census Area,Other,9
01/24/2021,Anchorage,Anchorage Municipality,Anchorage,43
01/24/2021,Anchorage,Anchorage Municipality,Chugiak,6
01/24/2021,Anchorage,Anchorage Municipality,Eagle River,4
01/24/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
01/24/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
01/24/2021,Gulf Coast,Kodiak Island Borough,Kodiak,1
01/24/2021,Interior,Fairbanks North Star Borough,Fairbanks,3
01/24/2021,Interior,Fairbanks North Star Borough,North Pole,3
01/24/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
01/24/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,4
01/24/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Sutton-Alpine,2
01/24/2021,Northern,Northwest Arctic Borough,Kotzebue,1
01/24/2021,Northern,Northwest Arctic Borough,Other,6
01/24/2021,Southeast,Juneau City and Borough,Juneau,1
01/24/2021,Southwest,Bethel Census Area,Bethel,3
01/24/2021,Southwest,Bethel Census Area,Other,1
01/25/2021,Anchorage,Anchorage Municipality,Anchorage,19
01/25/2021,Anchorage,Anchorage Municipality,Chugiak,1
01/25/2021,Anchorage,Anchorage Municipality,Eagle River,3
01/25/2021,Gulf Coast,Chugach Census Area,Cordova,1
01/25/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
01/25/2021,Gulf Coast,Kenai Peninsula Borough,Seward,1
01/25/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
01/25/2021,Interior,Fairbanks North Star Borough,Fairbanks,5
01/25/2021,Interior,Fairbanks North Star Borough,North Pole,4
01/25/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,4
01/25/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,13
01/25/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
01/25/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Sutton-Alpine,2
01/25/2021,Northern,Nome Census Area,Other,1
01/25/2021,Northern,Northwest Arctic Borough,Kotzebue,1
01/25/2021,Southeast,Haines Borough,Haines,1
01/25/2021,Southeast,Juneau City and Borough,Juneau,5
01/25/2021,Southeast,Prince of Wales-Hyder Census Area,Other,1
01/25/2021,Southwest,Bethel Census Area,Bethel,3
01/25/2021,Southwest,Bethel Census Area,Other,11
01/25/2021,Southwest,Kusilvak Census Area,Other,5
01/26/2021,Anchorage,Anchorage Municipality,Anchorage,54
01/26/2021,Anchorage,Anchorage Municipality,Chugiak,2
01/26/2021,Anchorage,Anchorage Municipality,Eagle River,13
01/26/2021,Gulf Coast,Chugach Census Area,Valdez,1
01/26/2021,Gulf Coast,Copper River Census Area,Other,1
01/26/2021,Gulf Coast,Kenai Peninsula Borough,Seward,4
01/26/2021,Gulf Coast,Kodiak Island Borough,Kodiak,1
01/26/2021,Interior,Fairbanks North Star Borough,Fairbanks,3
01/26/2021,Interior,Fairbanks North Star Borough,North Pole,2
01/26/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,1
01/26/2021,Interior,Southeast Fairbanks Census Area,Other,1
01/26/2021,Interior,Southeast Fairbanks Census Area,Tok,1
01/26/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,11
01/26/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,22
01/26/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
01/26/2021,Northern,Nome Census Area,Nome,1
01/26/2021,Northern,North Slope Borough,Other,1
01/26/2021,Northern,North Slope Borough,Utqiagvik,2
01/26/2021,Southeast,Juneau City and Borough,Juneau,2
01/26/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,2
01/26/2021,Southeast,Prince of Wales-Hyder Census Area,Other,1
01/26/2021,Southwest,Aleutians East Borough,Other,1
01/26/2021,Southwest,Aleutians West Census Area,Unalaska,2
01/26/2021,Southwest,Bethel Census Area,Bethel,19
01/26/2021,Southwest,Bethel Census Area,Other,11
01/26/2021,Southwest,Dillingham Census Area,Other,1
01/26/2021,Southwest,Kusilvak Census Area,Other,6
01/27/2021,Anchorage,Anchorage Municipality,Anchorage,41
01/27/2021,Anchorage,Anchorage Municipality,Chugiak,1
01/27/2021,Anchorage,Anchorage Municipality,Eagle River,3
01/27/2021,Gulf Coast,Chugach Census Area,Cordova,1
01/27/2021,Gulf Coast,Kenai Peninsula Borough,Homer,3
01/27/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,2
01/27/2021,Gulf Coast,Kenai Peninsula Borough,Seward,2
01/27/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
01/27/2021,Gulf Coast,Kodiak Island Borough,Kodiak,1
01/27/2021,Interior,Fairbanks North Star Borough,Fairbanks,19
01/27/2021,Interior,Fairbanks North Star Borough,North Pole,5
01/27/2021,Interior,Yukon-Koyukuk Census Area,Other,4
01/27/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,13
01/27/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
01/27/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Sutton-Alpine,1
01/27/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Willow,1
01/27/2021,Northern,North Slope Borough,Other,1
01/27/2021,Southeast,Juneau City and Borough,Juneau,2
01/27/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,2
01/27/2021,Southeast,Sitka City and Borough,Sitka,1
01/27/2021,Southeast,Yakutat plus Hoonah-Angoon,Other,1
01/27/2021,Southwest,Aleutians East Borough,Other,6
01/27/2021,Southwest,Aleutians West Census Area,Unalaska,4
01/27/2021,Southwest,Bethel Census Area,Bethel,9
01/27/2021,Southwest,Bethel Census Area,Other,38
01/27/2021,Southwest,Dillingham Census Area,Other,4
01/27/2021,Southwest,Kusilvak Census Area,Other,7
01/28/2021,Anchorage,Anchorage Municipality,Anchorage,66
01/28/2021,Anchorage,Anchorage Municipality,Chugiak,3
01/28/2021,Anchorage,Anchorage Municipality,Eagle River,5
01/28/2021,Gulf Coast,Chugach Census Area,Cordova,1
01/28/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
01/28/2021,Gulf Coast,Kenai Peninsula Borough,Seward,1
01/28/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,3
01/28/2021,Gulf Coast,Kodiak Island Borough,Kodiak,3
01/28/2021,Interior,Denali Borough,Healy,1
01/28/2021,Interior,Fairbanks North Star Borough,Fairbanks,12
01/28/2021,Interior,Fairbanks North Star Borough,North Pole,2
01/28/2021,Interior,Southeast Fairbanks Census Area,Tok,1
01/28/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,7
01/28/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,27
01/28/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Other,2
01/28/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Sutton-Alpine,2
01/28/2021,Northern,North Slope Borough,Utqiagvik,1
01/28/2021,Southeast,Juneau City and Borough,Juneau,18
01/28/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,2
01/28/2021,Southeast,Sitka City and Borough,Sitka,1
01/28/2021,Southwest,Aleutians West Census Area,Unalaska,2
01/28/2021,Southwest,Bethel Census Area,Bethel,8
01/28/2021,Southwest,Bethel Census Area,Other,3
01/28/2021,Southwest,Kusilvak Census Area,Other,5
01/29/2021,Anchorage,Anchorage Municipality,Anchorage,43
01/29/2021,Anchorage,Anchorage Municipality,Chugiak,2
01/29/2021,Anchorage,Anchorage Municipality,Eagle River,5
01/29/2021,Anchorage,Anchorage Municipality,Girdwood,1
01/29/2021,Gulf Coast,Copper River Census Area,Other,2
01/29/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,1
01/29/2021,Gulf Coast,Kenai Peninsula Borough,Other South,1
01/29/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,2
01/29/2021,Gulf Coast,Kodiak Island Borough,Kodiak,4
01/29/2021,Interior,Fairbanks North Star Borough,Fairbanks,4
01/29/2021,Interior,Fairbanks North Star Borough,North Pole,2
01/29/2021,Interior,Fairbanks North Star Borough,Other,1
01/29/2021,Interior,Southeast Fairbanks Census Area,Tok,4
01/29/2021,Interior,Yukon-Koyukuk Census Area,Other,1
01/29/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,6
01/29/2021,Northern,Nome Census Area,Nome,1
01/29/2021,Northern,North Slope Borough,Utqiagvik,1
01/29/2021,Northern,Northwest Arctic Borough,Kotzebue,1
01/29/2021,Southeast,Juneau City and Borough,Juneau,3
01/29/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,1
01/29/2021,Southeast,Sitka City and Borough,Sitka,1
01/29/2021,Southwest,Aleutians East Borough,Other,2
01/29/2021,Southwest,Bethel Census Area,Bethel,11
01/29/2021,Southwest,Bethel Census Area,Other,18
01/29/2021,Southwest,Kusilvak Census Area,Other,10
01/30/2021,Anchorage,Anchorage Municipality,Anchorage,40
01/30/2021,Anchorage,Anchorage Municipality,Chugiak,1
01/30/2021,Anchorage,Anchorage Municipality,Eagle River,2
01/30/2021,Gulf Coast,Copper River Census Area,Other,4
01/30/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
01/30/2021,Gulf Coast,Kenai Peninsula Borough,Nikiski,1
01/30/2021,Gulf Coast,Kenai Peninsula Borough,Seward,1
01/30/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
01/30/2021,Gulf Coast,Kodiak Island Borough,Kodiak,2
01/30/2021,Gulf Coast,Kodiak Island Borough,Other,1
01/30/2021,Interior,Fairbanks North Star Borough,Fairbanks,12
01/30/2021,Interior,Fairbanks North Star Borough,North Pole,2
01/30/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,1
01/30/2021,Interior,Southeast Fairbanks Census Area,Other,1
01/30/2021,Interior,Yukon-Koyukuk Census Area,Other,2
01/30/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,1
01/30/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,5
01/30/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Other,1
01/30/2021,Northern,Nome Census Area,Nome,1
01/30/2021,Northern,Northwest Arctic Borough,Other,2
01/30/2021,Southeast,Juneau City and Borough,Juneau,5
01/30/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,1
01/30/2021,Southeast,Sitka City and Borough,Sitka,1
01/30/2021,Southeast,Wrangell City and Borough,Wrangell,1
01/30/2021,Southwest,Aleutians West Census Area,Unalaska,3
01/30/2021,Southwest,Bethel Census Area,Bethel,8
01/30/2021,Southwest,Bethel Census Area,Other,16
01/30/2021,Southwest,Kusilvak Census Area,Other,9
01/31/2021,Anchorage,Anchorage Municipality,Anchorage,25
01/31/2021,Anchorage,Anchorage Municipality,Eagle River,3
01/31/2021,Gulf Coast,Copper River Census Area,Other,1
01/31/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,1
01/31/2021,Gulf Coast,Kodiak Island Borough,Kodiak,3
01/31/2021,Interior,Fairbanks North Star Borough,Fairbanks,3
01/31/2021,Interior,Fairbanks North Star Borough,North Pole,2
01/31/2021,Interior,Southeast Fairbanks Census Area,Other,1
01/31/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,10
01/31/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,9
01/31/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Sutton-Alpine,3
01/31/2021,Northern,Northwest Arctic Borough,Other,1
01/31/2021,Southwest,Aleutians East Borough,Other,3
01/31/2021,Southwest,Bethel Census Area,Other,1
02/01/2021,Anchorage,Anchorage Municipality,Anchorage,55
02/01/2021,Anchorage,Anchorage Municipality,Chugiak,2
02/01/2021,Anchorage,Anchorage Municipality,Eagle River,5
02/01/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
02/01/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,3
02/01/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,2
02/01/2021,Gulf Coast,Kodiak Island Borough,Kodiak,1
02/01/2021,Interior,Fairbanks North Star Borough,Ester,1
02/01/2021,Interior,Fairbanks North Star Borough,Fairbanks,8
02/01/2021,Interior,Fairbanks North Star Borough,North Pole,3
02/01/2021,Interior,Yukon-Koyukuk Census Area,Other,2
02/01/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,11
02/01/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,12
02/01/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,2
02/01/2021,Southeast,Juneau City and Borough,Juneau,2
02/01/2021,Southwest,Aleutians East Borough,Other,3
02/01/2021,Southwest,Aleutians West Census Area,Unalaska,1
02/02/2021,Anchorage,Anchorage Municipality,Anchorage,46
02/02/2021,Anchorage,Anchorage Municipality,Eagle River,5
02/02/2021,Gulf Coast,Chugach Census Area,Valdez,1
02/02/2021,Gulf Coast,Copper River Census Area,Other,3
02/02/2021,Gulf Coast,Kenai Peninsula Borough,Anchor Point,1
02/02/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
02/02/2021,Gulf Coast,Kenai Peninsula Borough,Nikiski,1
02/02/2021,Gulf Coast,Kenai Peninsula Borough,Seward,2
02/02/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
02/02/2021,Gulf Coast,Kodiak Island Borough,Kodiak,2
02/02/2021,Interior,Fairbanks North Star Borough,Fairbanks,14
02/02/2021,Interior,Fairbanks North Star Borough,North Pole,3
02/02/2021,Interior,Southeast Fairbanks Census Area,Other,3
02/02/2021,Interior,Southeast Fairbanks Census Area,Tok,4
02/02/2021,Interior,Yukon-Koyukuk Census Area,Other,1
02/02/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,25
02/02/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,32
02/02/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,2
02/02/2021,Northern,Nome Census Area,Other,2
02/02/2021,Northern,North Slope Borough,Utqiagvik,1
02/02/2021,Southeast,Juneau City and Borough,Juneau,6
02/02/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,3
02/02/2021,Southeast,Sitka City and Borough,Sitka,3
02/02/2021,Southwest,Aleutians East Borough,Other,1
02/02/2021,Southwest,Aleutians West Census Area,Unalaska,2
02/02/2021,Southwest,Bethel Census Area,Bethel,1
02/02/2021,Southwest,Bethel Census Area,Other,6
02/02/2021,Southwest,Dillingham Census Area,Other,5
02/02/2021,Southwest,Kusilvak Census Area,Other,1
02/03/2021,Anchorage,Anchorage Municipality,Anchorage,29
02/03/2021,Anchorage,Anchorage Municipality,Chugiak,2
02/03/2021,Anchorage,Anchorage Municipality,Eagle River,2
02/03/2021,Gulf Coast,Copper River Census Area,Other,2
02/03/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,1
02/03/2021,Interior,Fairbanks North Star Borough,Fairbanks,16
02/03/2021,Interior,Fairbanks North Star Borough,North Pole,4
02/03/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,14
02/03/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,18
02/03/2021,Northern,Nome Census Area,Other,1
02/03/2021,Northern,North Slope Borough,Other,1
02/03/2021,Southeast,Juneau City and Borough,Juneau,4
02/03/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,2
02/03/2021,Southeast,Petersburg Borough,Petersburg,1
02/03/2021,Southeast,Sitka City and Borough,Sitka,1
02/03/2021,Southwest,Aleutians East Borough,Other,1
02/03/2021,Southwest,Aleutians West Census Area,Unalaska,1
02/03/2021,Southwest,Bethel Census Area,Bethel,9
02/03/2021,Southwest,Bethel Census Area,Other,28
02/03/2021,Southwest,Dillingham Census Area,Dillingham,1
02/03/2021,Southwest,Dillingham Census Area,Other,2
02/03/2021,Southwest,Kusilvak Census Area,Other,17
02/04/2021,Anchorage,Anchorage Municipality,Anchorage,41
02/04/2021,Anchorage,Anchorage Municipality,Eagle River,3
02/04/2021,Gulf Coast,Chugach Census Area,Cordova,1
02/04/2021,Gulf Coast,Kenai Peninsula Borough,Anchor Point,1
02/04/2021,Gulf Coast,Kenai Peninsula Borough,Seward,1
02/04/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
02/04/2021,Interior,Fairbanks North Star Borough,Fairbanks,13
02/04/2021,Interior,Fairbanks North Star Borough,North Pole,1
02/04/2021,Interior,Yukon-Koyukuk Census Area,Other,1
02/04/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,17
02/04/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,33
02/04/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Other,2
02/04/2021,Southeast,Juneau City and Borough,Juneau,7
02/04/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,5
02/04/2021,Southeast,Sitka City and Borough,Sitka,1
02/04/2021,Southwest,Bethel Census Area,Bethel,5
02/04/2021,Southwest,Bethel Census Area,Other,22
02/04/2021,Southwest,Dillingham Census Area,Other,1
02/04/2021,Southwest,Kusilvak Census Area,Other,6
02/05/2021,Anchorage,Anchorage Municipality,Anchorage,33
02/05/2021,Anchorage,Anchorage Municipality,Eagle River,4
02/05/2021,Gulf Coast,Copper River Census Area,Other,1
02/05/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
02/05/2021,Gulf Coast,Kenai Peninsula Borough,Other South,1
02/05/2021,Gulf Coast,Kenai Peninsula Borough,Seward,3
02/05/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
02/05/2021,Gulf Coast,Kodiak Island Borough,Kodiak,1
02/05/2021,Interior,Fairbanks North Star Borough,Fairbanks,16
02/05/2021,Interior,Fairbanks North Star Borough,North Pole,2
02/05/2021,Interior,Fairbanks North Star Borough,Other,1
02/05/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,1
02/05/2021,Interior,Yukon-Koyukuk Census Area,Other,2
02/05/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,9
02/05/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,8
02/05/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Sutton-Alpine,1
02/05/2021,Northern,Nome Census Area,Other,2
02/05/2021,Northern,Northwest Arctic Borough,Kotzebue,1
02/05/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,5
02/05/2021,Southwest,Aleutians East Borough,Other,3
02/05/2021,Southwest,Aleutians West Census Area,Unalaska,1
02/05/2021,Southwest,Bethel Census Area,Other,13
02/05/2021,Southwest,Bristol Bay plus Lake and Peninsula,Other,1
02/05/2021,Southwest,Dillingham Census Area,Dillingham,6
02/05/2021,Southwest,Kusilvak Census Area,Other,7
02/06/2021,Anchorage,Anchorage Municipality,Anchorage,54
02/06/2021,Anchorage,Anchorage Municipality,Eagle River,1
02/06/2021,Gulf Coast,Chugach Census Area,Valdez,1
02/06/2021,Gulf Coast,Copper River Census Area,Other,2
02/06/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,3
02/06/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,3
02/06/2021,Gulf Coast,Kodiak Island Borough,Kodiak,1
02/06/2021,Interior,Fairbanks North Star Borough,Fairbanks,15
02/06/2021,Interior,Fairbanks North Star Borough,North Pole,2
02/06/2021,Interior,Yukon-Koyukuk Census Area,Other,39
02/06/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,17
02/06/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,43
02/06/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Willow,1
02/06/2021,Northern,Nome Census Area,Other,1
02/06/2021,Southeast,Juneau City and Borough,Juneau,7
02/06/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,4
02/06/2021,Southeast,Prince of Wales-Hyder Census Area,Craig,1
02/06/2021,Southwest,Aleutians East Borough,Other,1
02/06/2021,Southwest,Bethel Census Area,Bethel,1
02/06/2021,Southwest,Bethel Census Area,Other,9
02/06/2021,Southwest,Bristol Bay plus Lake and Peninsula,Other,1
02/06/2021,Southwest,Dillingham Census Area,Dillingham,3
02/06/2021,Southwest,Kusilvak Census Area,Other,2
02/07/2021,Anchorage,Anchorage Municipality,Anchorage,14
02/07/2021,Anchorage,Anchorage Municipality,Chugiak,2
02/07/2021,Anchorage,Anchorage Municipality,Eagle River,6
02/07/2021,Gulf Coast,Kenai Peninsula Borough,Anchor Point,1
02/07/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
02/07/2021,Interior,Fairbanks North Star Borough,Fairbanks,2
02/07/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,13
02/07/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,22
02/07/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Willow,1
02/07/2021,Northern,Nome Census Area,Other,2
02/07/2021,Northern,Northwest Arctic Borough,Other,1
02/07/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,2
02/07/2021,Southwest,Aleutians East Borough,Other,1
02/07/2021,Southwest,Bethel Census Area,Other,14
02/07/2021,Southwest,Bristol Bay plus Lake and Peninsula,Other,1
02/07/2021,Southwest,Dillingham Census Area,Dillingham,2
02/08/2021,Anchorage,Anchorage Municipality,Anchorage,32
02/08/2021,Anchorage,Anchorage Municipality,Chugiak,1
02/08/2021,Anchorage,Anchorage Municipality,Eagle River,5
02/08/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
02/08/2021,Gulf Coast,Kenai Peninsula Borough,Sterling,2
02/08/2021,Interior,Fairbanks North Star Borough,Fairbanks,3
02/08/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,1
02/08/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,9
02/08/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,21
02/08/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
02/08/2021,Northern,Northwest Arctic Borough,Kotzebue,1
02/08/2021,Southeast,Juneau City and Borough,Juneau,1
02/08/2021,Southwest,Aleutians West Census Area,Unalaska,1
02/08/2021,Southwest,Bethel Census Area,Bethel,3
02/08/2021,Southwest,Bethel Census Area,Other,21
02/08/2021,Southwest,Bristol Bay plus Lake and Peninsula,Other,1
02/08/2021,Southwest,Kusilvak Census Area,Other,2
02/09/2021,Anchorage,Anchorage Municipality,Anchorage,46
02/09/2021,Anchorage,Anchorage Municipality,Chugiak,2
02/09/2021,Anchorage,Anchorage Municipality,Eagle River,2
02/09/2021,Anchorage,Anchorage Municipality,Girdwood,1
02/09/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,1
02/09/2021,Gulf Coast,Kenai Peninsula Borough,Nikiski,1
02/09/2021,Gulf Coast,Kenai Peninsula Borough,Seward,3
02/09/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,2
02/09/2021,Gulf Coast,Kenai Peninsula Borough,Sterling,1
02/09/2021,Interior,Fairbanks North Star Borough,Fairbanks,15
02/09/2021,Interior,Fairbanks North Star Borough,North Pole,6
02/09/2021,Interior,Fairbanks North Star Borough,Salcha,1
02/09/2021,Interior,Southeast Fairbanks Census Area,Delta Junction,1
02/09/2021,Interior,Yukon-Koyukuk Census Area,Other,3
02/09/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,18
02/09/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,29
02/09/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1
02/09/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Sutton-Alpine,1
02/09/2021,Northern,Nome Census Area,Other,1
02/09/2021,Northern,North Slope Borough,Utqiagvik,1
02/09/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,3
02/09/2021,Southeast,Petersburg Borough,Petersburg,1
02/09/2021,Southwest,Aleutians West Census Area,Unalaska,3
02/09/2021,Southwest,Bethel Census Area,Bethel,7
02/09/2021,Southwest,Bethel Census Area,Other,11
02/09/2021,Southwest,Bristol Bay plus Lake and Peninsula,Other,2
02/09/2021,Southwest,Kusilvak Census Area,Other,6
02/10/2021,Anchorage,Anchorage Municipality,Anchorage,62
02/10/2021,Anchorage,Anchorage Municipality,Chugiak,1
02/10/2021,Anchorage,Anchorage Municipality,Eagle River,7
02/10/2021,Gulf Coast,Chugach Census Area,Cordova,1
02/10/2021,Gulf Coast,Kenai Peninsula Borough,Homer,1
02/10/2021,Interior,Fairbanks North Star Borough,Fairbanks,10
02/10/2021,Interior,Fairbanks North Star Borough,North Pole,1
02/10/2021,Interior,Fairbanks North Star Borough,Salcha,1
02/10/2021,Interior,Yukon-Koyukuk Census Area,Other,1
02/10/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,13
02/10/2021,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,14
02/10/2021,Northern,Northwest Arctic Borough,Other,1
02/10/2021,Southeast,Haines Borough,Haines,1
02/10/2021,Southeast,Juneau City and Borough,Juneau,2
02/10/2021,Southeast,Ketchikan Gateway Borough,Ketchikan,1
02/10/2021,Southeast,Petersburg Borough,Petersburg,1
02/10/2021,Southwest,Bethel Census Area,Bethel,2
02/10/2021,Southwest,Bethel Census Area,Other,4
02/10/2021,Southwest,Kusilvak Census Area,Hooper Bay,1
02/10/2021,Southwest,Kusilvak Census Area,Other,7
02/11/2021,Anchorage,Anchorage Municipality,Anchorage,47
02/11/2021,Anchorage,Anchorage Municipality,Eagle River,4
02/11/2021,Anchorage,Anchorage Municipality,Girdwood,2
02/11/2021,Gulf Coast,Copper River Census Area,Other,4
02/11/2021,Gulf Coast,Kenai Peninsula Borough,Kenai,5
02/11/2021,Gulf Coast,Kenai Peninsula Borough,Nikiski,2
02/11/2021,Gulf Coast,Kenai Peninsula Borough,Seward,1
02/11/2021,Gulf Coast,Kenai Peninsula Borough,Soldotna,1
02/11/2021,Interior,Fairbanks North Star Borough,Fairbanks,5
